,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,second harmonics,Label for OM and EL,target
420,16,4,12.375000000000005,12.000000000000005,9.125000000000002,0.02147849866855988,0.006005456135000066,0.005135229554232263,1.869590016608072,0.7986670919084133,1.2163086700208083,0.02130058902797068,0.0025752309499398112,0.0047636459748735946,0,1,0.0
421,1,1,12.375000000000005,12.875000000000005,13.250000000000005,0.060451463185002566,0.005569608472360002,0.005286425275530842,1.2889047980082893,0.5935319124366742,0.7880392131088314,0.06038108634635352,0.0001974946531218989,0.0017036912581289013,0,1,0.0
422,6,1,12.375000000000005,12.625000000000005,8.875000000000002,0.04687160278886618,0.009717176442513357,0.007301516636374015,1.2576916550738133,0.6827133377046408,5.501142426605,0.04682337879822183,0.0019162210369093723,0.007113330251884719,0,1,0.0
423,44,27,8.125000000000002,9.000000000000002,1.0000000000000002,0.016361350728680283,0.015523864442871188,0.012949943646224196,1.568917969269613,1.1055037031723174,7.559212694284442,0.01621806433463325,0.01394395176605916,0.008823196903613368,0,1,0.0
424,20,6,8.199596972377865,16.39919394475573,1.6999164454929718,0.010569902224205462,0.00626008686699815,0.005995228668849301,1.5814100412346335,3.085309549560833,3.454939849523061,0.01045314047057364,0.00619546428970683,0.005767517004483684,1,1,0.0
425,42,25,0.9999508502899834,8.199596972377865,1.6999164454929718,0.008393041238316905,0.006422530684868989,0.00612901512971314,1.2471691878274136,3.3865037786494696,2.1362329599352137,0.007266210342878737,0.006143054463500561,0.004513939052292685,0,1,0.0
426,15,3,8.199596972377865,16.29919885972673,7.899611717290869,0.013375265504924969,0.006312745848785027,0.004591164227972268,1.285932476439129,3.47149993527799,1.1239147190152892,0.013185813114342745,0.0062785049014297475,0.0009649364250561895,1,1,0.0
427,9,2,8.199596972377865,16.39919394475573,16.199203774697732,0.021300328083348544,0.010729744187915207,0.009590153116846654,1.326693257799917,3.487702671420294,0.5336392102733782,0.021158422395251127,0.010653528830764552,0.00036835379546040596,1,1,0.0
428,10,4,8.199596972377865,16.39919394475573,1.6999164454929718,0.02135948479452104,0.010786562675808851,0.004979287751708542,1.3908523808968738,3.4356858021008634,1.3965401866713378,0.021224550728464162,0.010714394951212803,0.004585628004781925,1,1,0.0
429,6,1,8.199596972377865,7.899611717290869,1.0999459353189818,0.033950055446565514,0.008862074186062401,0.0061117380663235615,1.350927522702861,0.5260773837993611,3.400826054990171,0.033782052972240434,0.0003244952141517807,0.004940943788479294,0,1,0.0
430,10,1,8.199596972377865,7.899611717290869,0.7999606802319867,0.01617431752194497,0.0050534199569199035,0.003474320956911244,1.3665895346981927,0.7434374056164756,2.6320277740760893,0.016095944242690112,0.001591660206345318,0.002662131225806802,0,1,0.0
431,16,5,16.39919394475573,8.199596972377865,1.6999164454929718,0.010576583275079923,0.009990268656122509,0.0038447609562173904,3.2911212719165803,1.2652145946575075,2.256695197317949,0.01055175078182619,0.009804136817485615,0.003490606851480972,1,1,0.0
432,38,27,8.199596972377865,7.299641207116879,14.299297159146766,0.008037694291612694,0.006926768958149535,0.00585307952858601,3.374595775458502,2.1709752746253344,3.9254309310588837,0.00782485382289415,0.005306221029242435,0.005680603589083185,1,1,0.0
433,31,10,8.199596972377865,16.29919885972673,0.7999606802319867,0.01557690607073621,0.007976608655725552,0.006681215281174129,1.2485786673034198,3.4797307059083664,2.586555730723128,0.015041039337391392,0.00783397665554471,0.005985868226130933,1,1,0.0
434,7,2,8.199596972377865,16.39919394475573,16.199203774697732,0.03100845444284115,0.01442239587733696,0.013190520689358026,1.3203160833863876,3.507458848152794,0.5468335144518619,0.03089527104686064,0.014298481160635028,0.0006951927111472269,1,1,0.0
435,6,1,8.199596972377865,16.39919394475573,8.599577312493857,0.03254412153271356,0.016662142227056306,0.005302032161254395,1.3923009749457407,3.4272077468520195,0.8797283267167444,0.03245934438403386,0.01653377649488091,0.0026748473309341544,1,1,0.0
436,3,1,8.199596972377865,16.39919394475573,7.699621547232872,0.04285587044193123,0.0068742978854037864,0.006859413210204639,1.3347095190645746,3.5291333196659025,1.4511777445634095,0.04254830512750769,0.006759232614923986,0.003705564709207459,1,1,0.0
437,8,2,8.199596972377865,7.899611717290869,7.299641207116879,0.015641410948670366,0.004821472538653101,0.002796214359105597,1.3743669153440123,0.7338570498232997,0.882661000100228,0.015628890058307143,0.0014933532352317666,0.001694106124309489,0,1,0.0
438,4,1,8.199596972377865,16.39919394475573,0.6999655952029884,0.02006650813499113,0.012792617995370615,0.004132010827945528,1.2941422331865624,3.4674786897384706,2.4255497513874458,0.02002371973216386,0.012772759478830182,0.003339916866019776,1,1,0.0
439,29,11,8.199596972377865,7.299641207116879,6.199695271797898,0.014439196993409759,0.010592572717760554,0.010167953050878654,1.4276692934867725,1.5216507658911667,4.256780814505596,0.01427879346813833,0.009539901995515342,0.008662716482034028,0,1,0.0
440,23,7,8.199596972377865,16.39919394475573,16.199203774697732,0.019802296136664368,0.015178159084436203,0.014036636351959541,1.6094340037453634,3.5752037838091155,0.6742000819580767,0.019768828232631125,0.015099529099303975,0.002418826921844577,1,1,0.0
